artist,country,price,year
Miles Davis,US,22.91,27 Mar 2020
Daniel Santos,Peru,42.980000000000004,
Kamchatka,,69.5,2019
Doyeq,US,78.0,2013
John Coltrane,UK,15.93,2005
Bill Withers,US,30.99,15 Jan 2021
P J Harvey,"UK, Europe & US",31.99,26 Feb 2021
Electronic,Europe,50.0,24 Jan 2020
Various,"Vinyl, LP, Compilation",34.48,US
Eagles,Canada,41.5,07 Nov 1980
The Who,Europe,171.17,30 Oct 2015
Goat Girl,UK,23.62,06 Apr 2018
Louise Lambert,USA & Canada,64.0,
Garry Davis,,14.0,1974
Willie,Australia,15.0,
Goat Girl,US,30.98,06 Apr 2018
Son Kite,Germany,55.0,2000
Cida Moreyra,Brazil,15.0,1986
Paul McCartney,Australia,5.0,1983
Logic (27),US,109.99,2019
The Airmen Of Note,US,17.0,1979
Prefab Sprout,Australia,5.0,1985
The Knack (3),Japan,13.0,1979
Andrus Blackwood & Co.,US,15.0,1984
Carreras,Netherlands,15.0,1990
Tommy Sands,US,6.29,1957
The Pretty Reckless,US,93.99,17 May 2021
Access 58,UK,55.0,1998
The Romantics,US,7.0,1980
Panic! At The Disco,"UK, Europe & US",22.48,22 Jun 2018
Robert Glasper,US,37.17,2020
Magnetrixx,Germany,64.22,2001
Willie Nelson,Australia,10.0,1980
Bert Kaempfert And His Orchestra,US,16.0,1967
Andrus Blackwood & Co.,US,15.0,1984
La Charanga Del Puerto,Peru,142.99,
Living Sound,UK,30.0,1981
John Lee Hooker,Europe,27.94,26 Jan 2018
Napoleon Demps,US,29.0,2020
WestsideGunn,UK,104.0,28 Sep 2020
Asphyx (2),US,41.99,12 Feb 2021
Bob Dylan,Uruguay,535.0,
Los Santos (4),Argentina,71.0,
Andrus Blackwood & Co.,US,15.0,1984
The Kinks,US,40.0,2020
Eddy Herrera,Venezuela,49.980000000000004,1993
Maxayn,US,21.99,1974
Gil Scott-Heron / Brian Jackson,US,53.99,1974
Beastie Boys,US,49.99,Dec 1984
Maze Featuring Frankie Beverly,US,33.989999999999995,1986
Frankie Knuckles,US,53.99,1989
Ultra Magnetic M.C.'s,US,39.99,1987
Ralphi Rosario,US,33.989999999999995,1987
Inner City,US,28.99,1989
Dave Valentin,US,16.990000000000002,1980
Billie Holiday,US,23.99,1986
Inner City,US,23.99,1988
D.J. Pierre,US,33.989999999999995,1990
Yvonne Elliman,US,16.990000000000002,1972
Black Box,US,22.99,1990
Earth People,US,28.99,1990
Madonna,US,23.99,05 Apr 1990
Marvin Gaye,US,18.990000000000002,1981
A Guy Called Gerald,US,43.99,1988
C-Traxx,Germany,4.99,2001
King Diamond,US,28.99,15 May 2020
The Dave Brubeck Quartet,Japan,77.65,Jul 1962
Johnny Mathis,US,15.0,1975
Martin Kohlstedt,Germany,39.51,17 Nov 2017
Art Blakey & The Jazz Messengers,Japan,49.21,
Lebenden Toten,US,55.0,31 Oct 2020
Tanya Tucker,US,14.0,1987
Bright Eyes,UK,20.5,25 Sep 2000
The Chemical Brothers,US,18.0,13 Mar 1996
Earl Richards,US,24.99,Apr 1973
Counterparts,US,99.0,01 Nov 2019
Trimatic,Denmark,37.35,2000
Led Zeppelin,Japan,370.0,Nov 1970
Michel Polnareff,Japan,30.0,1971
The Rolling Stones,Uruguay,435.0,1967
Brownsville Station,US,29.95,1970
Los B-83,Peru,212.99,1983
Razor (2),"USA, Canada & Europe",38.3,2019
Various,Canada,40.0,1981
Carpenters,US,14.5,1977
Khachaturian,UK,19.99,
Oscar D' León,Venezuela,44.980000000000004,1981
Andrus Blackwood & Co.,US,15.0,1984
Françoise Hardy,Europe,47.2,2016
The Rurals,US,18.0,2000
UB40,US,10.5,1986
Johnny Marr,US,21.15,25 Feb 2013
New South Jazz Ensemble,US,35.0,1981
Red Balune,UK,12.99,1978
Bee Bee Cee,UK,244.0,Nov 1977
Head East,US,24.0,1979
The Beatles Costello,US,12.0,1978
Terry Black (2),US,29.0,1964
Bump Cars,US,26.99,1978
Pushups,US,28.95,1979
Tommy Trash (2),US,64.0,1983
The Riot Rockers,"Vinyl, 7"", Single",69.0,UK
Vivian Stanshall,UK,11.5,Nov 1976
Barry Mann,US,12.99,1968
The Landsliders,US,17.990000000000002,1988
Thomas Leer,UK,29.0,Nov 1978
Ariel Pink,UK,26.99,29 Jun 2016
Unknown Artist,US,31.99,1977
The Chills,Germany,15.0,1986
France Gall,France,11.0,Aug 1964
STNNNG,US,15.0,26 Oct 2010
The Coathangers,US,37.99,2013
Hawkwind,UK,16.990000000000002,1980
Agentt,US,69.0,1982
BS (2),US,20.99,1977
Various,"2 ×
            
                                                                                                                                                                                                                                                                            
            Vinyl, LP, Compilation, Reissue, Remastered",25.0,US
The Lovin' Spoonful,US,4.43,1966
Д. Башкиров,USSR,43.8,
Janis Joplin,Europe,26.13,02 Mar 2018
Robert Glasper,US,25.97,2020
Madlib,UK,84.0,23 Feb 2021
John Lee Hooker,US,23.21,2017
The Voidz (2),Europe,30.85,30 Mar 2018
Simon & Garfunkel,USA & Europe,22.34,2018
Kamasi Washington,US,57.63999999999999,22 Jun 2018
Pearl Jam,US,20.86,10 Nov 2017
Karla Bonoff,US,18.89,1977
Los Melodicos,US,34.0,1978
"Luke The Drifter, Jr.",US,10.25,1969
Mercyful Fate,US,26.56,Jul 2020
Dana Fuchs,Europe,20.28,18 May 2018
Mark Taylor (2),US,34.63,1999
Queen,"Vinyl, LP, Album, Reissue, Remastered,",20.14,US
Van Halen,US,11.0,1978
The Lamont Cranston Band,US,79.0,1979
Atlantis II,US,64.0,1976
The Hellacopters,US,33.989999999999995,05 Mar 1999
Cine³,US,84.0,
Bob Kerr's Whoopee Band,UK,14.0,1976
The Valves,UK,17.990000000000002,1979
Kaytranada,USA & Europe,37.51,12 Jun 2020
