artist,country,price,year
Cameron McCosh,US,11.0,
Various,US,27.0,
Fader Freaks,UK,12.0,2002
Spacecorn,UK,12.0,2001
Future Lover,US,25.0,1999
DJ Sharaz,US,35.0,12 Dec 2003
Inner City,US,23.99,1988
DJ Fixx,US,35.0,2002
Mike Nice (2),US,17.0,2001
Curtis Mayfield,"Vinyl, LP, Album, Limited Edition, Reissue,",44.0,US
Tycho (3),US,26.78,18 Mar 2014
Frank Sinatra,Netherlands,33.05,1958
Supersoul,US,15.0,1996
A Tribe Called Quest,US,21.91,
Neil Young,US,90.0,23 Dec 2014
Diane Schuur,"Vinyl, LP, Compilation",19.0,US
Spandau Ballet,Greece,30.5,1983
Αντώνης Τουρκογιώργης,Greece,30.5,1988
Χάρης & Πάνος,Greece,30.5,1994
The Nice Men,UK,19.0,1981
Αργύρης Αμίτσης,Greece,27.5,1987
Dalek Beach Party,UK,24.5,1990
Διονύσης Τσακνής,Greece,26.5,1993
Κλίκα,Greece,27.5,1990
The Hollow Men,UK & Europe,26.5,1990
Thee Katatonix,US,37.5,1984
Various,Italy,21.5,1992
Tobruk,UK,20.0,1985
400 Blows,Greece,29.5,1985
Trapeze,US,55.0,1972
B.A.D.,Greece,30.5,1986
Spandau Ballet,UK,29.5,1984
The House Of Love,UK,21.5,08 Aug 1988
Colt 45 (8),Sweden,21.5,1990
UB40,Greece,28.5,1982
Γιάννης Σπανός,Greece,29.5,1982
Joe Jackson,"Vinyl, LP, Album, Reissue",28.5,Greece
Eric Clapton,Greece,29.5,1986
Filippos Tsemperoulis,Greece,27.5,1990
The Marshall Tucker Band,Greece,30.5,1981
1919,UK,24.5,1982
The Left Banke,US,35.0,Jun 2011
"Hank Williams, Jr.",US,8.0,1966
Delta Goodrem,Australia,80.0,28 May 2021
Battlecry,US,20.0,1985
Sound Enforcer,UK,28.0,11 Mar 1996
Frankie Stubbs,UK & US,11.8,2020
Blades (4),USA & Canada,23.99,1981
Pretenders,US,6.75,1981
Rose Tattoo,Australia,15.0,1984
Harmonia & Eno '76,Europe,22.990000000000002,18 Sep 2009
Hideki Kaji,Japan,65.81,01 Sep 1999
Denise LaSalle,US,15.0,1980
Flare,Japan,35.0,1996
Kanye West,US,46.0,18 Mar 2014
The Doors,Europe,40.99,12 Nov 2012
Duster (2),US,36.0,13 Dec 2019
Ray La Montagne,US,60.0,14 Oct 2008
Magda Lake,Venezuela,46.980000000000004,1988
Celia Cruz,Venezuela,44.980000000000004,
The Shins,US,45.0,21 Oct 2003
The Psychedelic Furs,Canada,8.0,Jan 1987
Jack Johnson,US,21.22,2005
Mikie Dangerous,Jamaica,14.74,1995
J.S. Ondara,Europe,19.48,15 Feb 2019
Southern All Stars,Japan,35.52,2003
Various,US,15.0,1959
Bill Frisell,US,25.97,08 Nov 2019
Michel Legrand,US,34.0,1958
Various,"Vinyl, LP, Mono",45.0,France
Morgan Huggins,Australia,23.1,02 Jun 2021
Ray Lamontagne,US,42.0,2008
Miles Davis,US,29.41,06 Sep 2019
Naz Nomad And The Nightmares,UK,16.48,2017
Aphex Twin,UK,28.4,29 Jun 2018
I'm Talking,Australia,10.0,1986
Tanya Tucker,Japan,13.0,1976
Demigod,"Vinyl, LP, Album, Limited Edition, Numbered",46.8,Germany
Luis Griñán Y Su Orquesta,US,103.97999999999999,
Little Village,Europe,22.19,2019
The Screaming Meemees,Australia,10.0,Feb 1983
Los Socios del Ritmo,US,22.0,1979
Lida Husik,US,16.0,1997
Richard Swift (2),US,21.03,07 Apr 2009
Celia Cruz,Venezuela,45.58,1978
Tony Orlando & Dawn,US,19.0,1976
Freddie Mercury,Australia,10.0,1985
City And Colour,,34.989999999999995,Oct 2020
Yello,Australasia,10.0,1987
Hank Williams,US,14.25,1984
Morris Albert,US,4.98,1974
The Beginner's Mynd,US,17.78,2018
G. Wayne Thomas,Australia,30.0,1973
Violens,UK,54.0,25 Oct 2010
Barnabas (3),US,20.0,1986
Pestilence,Netherlands,45.980000000000004,Dec 2017
Анатолий Александров,USSR,47.09,1963
Carmen Silva,Brazil,45.0,1974
Charli XCX,"USA, Canada & Europe",24.99,18 Sep 2020
Meyhem,US,29.0,04 Aug 2020
Gabor Szabo,Japan,41.19,1968
Ron Carter,US,9.85,1978
Little Village,US,30.04,25 Jan 2019
Greg Quill,Australia,10.0,Oct 1978
Niels Van Gogh,Germany,9.99,2000
The Digital Information System,US,75.0,1998
Maroon 5,US,28.45,31 Jul 2015
Naz Nomad And The Nightmares,UK,16.9,2017
Dynamic Hepnotics,Australia,5.0,1984
The Beginner's Mynd,US,21.71,2018
The Pittsburgh New Music Ensemble,US,7.99,1984
Celia Cruz,Venezuela,45.58,1978
George Deffet,US,14.0,1978
Fleet Foxes,US,31.979999999999997,2013
Townes Van Zandt,US,23.32,2019
David Bowie,USA & Europe,29.98,18 Jan 2021
The Stone Roses,Europe,26.63,2018
Hoshino Michiru,Japan,53.93,21 May 2014
James Williamson,US,36.93,18 Sep 2020
Mac DeMarco,US,27.51,2015
Dean Martin,"Vinyl, LP, Album, Limited Edition, Reissue, Remastered,",17.25,
Magnetrixx,Germany,43.0,2001
The Stone Roses,Europe,25.19,
Celia Cruz,Venezuela,40.980000000000004,1982
Sons Of Millionaires,Australia,10.0,1984
James Williamson,US,25.830000000000002,18 Sep 2020
Dashboard Confessional,"Vinyl, LP, Album, Club Edition, Limited Edition, Numbered, Reissue,",35.989999999999995,US
Various,US,26.900000000000002,06 Apr 2018
Guido & Maurizio,US,16.0,1977
St. Paul & The Broken Bones,Europe,26.8,07 Sep 2018
Freddie Gibbs,Europe,23.69,26 Jul 2019
Marvin Santiago,US,60.0,1979
Rahiem Supreme,Italy,108.89,2021
Various,Europe,32.01,06 Apr 2018
Various,US,24.979999999999997,1977
Nick Smith (9),Australia,10.0,1984
Duster (2),"Box Set, Compilation",221.0,US
KT Tunstall,UK & Europe,23.57,09 Sep 2016
Doors,Europe,40.0,06 Mar 2012
Mini Mansions,US,24.3,09 Aug 2019
Velocity Boy,UK,16.0,1999
Andy Williams,US,15.0,1969
J Mascis,US,26.52,09 Nov 2018
Celia Cruz,Venezuela,40.980000000000004,1982
Travis Scott (2),US,41.99,06 Nov 2015
Simon & Garfunkel,Europe,30.41,19 Oct 2018
Twisted Sister,Australia,10.0,1984
Poison Idea,US,20.86,16 Jun 2017
Budgie,US,60.0,1974
Tomcraft,Germany,19.99,2001
Aerosmith,US,33.81,13 Sep 2019
The Clientele,US,20.11,2017
Alice Cooper (2),USA & Europe,54.0,24 Oct 2020
Palmbomen II,US,28.54,08 Sep 2017
Leonid Kogan,USSR,21.86,
Cedric Burnside,US,22.330000000000002,14 Sep 2018
Led Zeppelin,Japan,370.0,Nov 1970
Madonna,US,83.0,11 Oct 2016
Bonnie Raitt,US,51.76,1972
Celia Cruz,Venezuela,45.58,1978
Robert Goulet,US,17.0,1963
Son Kite,Germany,55.0,2000
Cida Moreyra,Brazil,15.0,1986
Paul McCartney,Australia,5.0,1983
Logic (27),US,109.99,2019
The Airmen Of Note,US,17.0,1979
Daniel Santos,Peru,42.980000000000004,
Kamchatka,,69.5,2019
Doyeq,US,78.0,2013
John Coltrane,UK,15.93,2005
Bill Withers,US,30.99,15 Jan 2021
P J Harvey,"UK, Europe & US",31.99,26 Feb 2021
Electronic,Europe,50.0,24 Jan 2020
Various,"Vinyl, LP, Compilation",34.48,US
Mike Cooley,US,57.98,26 May 2021
The Love Strings Of Mort Garson,US,25.0,1968
Bedřich Smetana,Czechoslovakia,220.0,1966
Bring Me The Horizon,"Vinyl, 12"", EP,",32.989999999999995,US
David Allan Coe,US,16.98,1982
Aditus,Venezuela,42.980000000000004,1985
Andy Williams,US,15.0,1966
Undergang (2),Spain,42.95,2012
