artist,country,price,year
Mott The Hoople,Australia,30.0,1971
Space,Germany,15.98,1977
The Cure,Germany,45.69,11 Apr 1981
Drafi Deutscher,Germany,26.92,1987
Turbines,Europe,25.65,1985
Smoove,UK,20.0,Apr 2021
The Rolling Stones,"Vinyl, LP, Album",29.45,Europe
Baden Powell,Germany,28.5,
The Tornados,Germany,21.740000000000002,1962
Belle Epoque,Germany,14.99,1978
Neil Young,Europe,39.0,07 Jan 2017
Cannonball Adderley,US,45.0,1975
Bad Company (3),Germany,19.37,Mar 1979
Space,Germany,37.0,1978
Udo Lindenberg + Panikorchester,Germany,29.189999999999998,1984
Neil Young,Europe,40.0,05 Jan 2018
Belle Epoque,Germany,18.64,1977
The Beatles,US,45.0,1978
Pink Floyd,Europe,144.5,07 Apr 2003
En Vogue,US,16.0,1990
Grand Funk,US,24.98,15 Mar 1974
Марк Бернес,USSR,14.43,1964
Mitch Ryder,US,20.0,1968
Z.Z. Hill,US,10.25,1984
Benny Goodman,Netherlands,12.0,1982
